method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
frequency_based,2,753,0.995068865839143,0.9950521293514756,0.9879011533671184,0.9950521293514756,0.8,1.445097302899697,0.5,2.0889478535917325,1088.1582690834719
frequency_based,3,112,0.987707881417209,0.8995793901156677,0.971722394725457,0.8995793901156677,0.7777777777777779,4.307607728320894,0.3333333333333333,2.753809498335121,482.4520655719402
frequency_based,4,61,0.9985433357611072,0.820476858345021,0.9966924971431952,0.820476858345021,0.7777777777777779,9.095521997224017,0.45,3.1953254104620026,554.8268418306649
frequency_based,5,425,0.9652031063321386,0.9636534334763948,0.9242648365248955,0.9644008597528212,0.7499999999999999,6.123849540990931,0.4,2.5546124240427006,2602.636054921146
frequency_based,average,1487,0.9863146356127648,0.9583318121651178,0.9694010545997784,0.9585454343355824,0.7831241126802659,4.075341990146594,0.4522416498542927,2.3455139187747864,6060.0335393479845
random_clustering,1,121,0.9973166368515206,0.8810340279609602,0.9916536461070876,0.8810340279609602,0.7499999999999999,6.854382954424403,0.3666666666666666,2.6749294468920484,829.3803374853527
random_clustering,2,242,0.998844598497978,0.8518471499301765,0.9950484039155494,0.8518471499301765,0.7647058823529413,7.394367968200912,0.4333333333333333,3.2913153224200578,1789.4370483046207
random_clustering,3,162,0.9852413242919824,0.8447665056360709,0.9327712538876864,0.8447665056360709,0.7647058823529413,6.265131255151628,0.3666666666666666,2.9065684529253963,1014.9512633345638
random_clustering,4,129,0.9752028854824166,0.981103552532124,0.9058787968520238,0.9821428571428572,0.7931034482758622,7.727878577653465,0.4,3.3668143674433826,996.896336517297
random_clustering,5,833,0.987613149118628,0.740015816528272,0.9541558920487888,0.740015816528272,0.7647058823529413,2.7866930462978616,0.3666666666666666,1.9504606843625936,2321.315307566119
random_clustering,average,1487,0.9888955789333522,0.8020173739234143,0.9573442978660912,0.8021075355204449,0.7659727782771854,4.675171683394723,0.3804079802734813,2.4546615090435395,6951.980293207953
actitrac_freq,1,884,0.9836266429048786,0.7469922786855809,0.964887435560969,0.7469922786855809,0.7647058823529413,3.1278802326941406,0.4666666666666667,3.7642188742586016,2765.0461257016204
actitrac_freq,2,153,0.9987261146496816,0.821917808219178,0.995480201906309,0.821917808219178,0.7777777777777779,7.320923853185989,0.45,1.8625268037098448,1120.1013495374564
